symbol,rank,company_name_vi,company_name_en,exchange,ref_price,ceiling,floor,source,verified,updated_date
HDG,38,Công ty Cổ phần Tập đoàn Hà Đô,Ha Do Group Joint Stock Company,hose,32350,34600,30100,ssi_api_official,True,2025-09-27
HHV,39,Công ty Cổ phần Đầu tư Hạ tầng Giao thông Đèo Cả,Deo Ca Traffic Infrastructure Investment Joint Stock Company,hose,16450,17600,15300,ssi_api_official,True,2025-09-27
HPG,40,Công ty Cổ phần Tập đoàn Hòa Phát,Hoa Phat Group Joint Stock Company,hose,28800,30800,26800,ssi_api_official,True,2025-09-27
HSG,41,Công ty Cổ phần Tập đoàn Hoa Sen,Hoa Sen Group,hose,19400,20750,18050,ssi_api_official,True,2025-09-27
HT1,42,Công ty Cổ phần Xi măng VICEM Hà Tiên,VICEM Ha Tien Cement Joint Stock Company,hose,17850,19050,16650,ssi_api_official,True,2025-09-27
IMP,43,Công ty Cổ phần Dược phẩm Imexpharm,Imexpharm Corporation,hose,53200,56900,49500,ssi_api_official,True,2025-09-27
KBC,44,Tổng Công ty Phát triển Đô Thị Kinh Bắc – Công ty Cổ phần,Kinh Bac City Development Holding Corporation,hose,36900,39450,34350,ssi_api_official,True,2025-09-27
KDC,45,Công ty Cổ phần Tập đoàn Kido,KIDO Group Corporation,hose,52500,56100,48850,ssi_api_official,True,2025-09-27
KDH,46,Công ty Cổ phần Đầu tư và Kinh doanh Nhà Khang Điền,Khang Dien House Trading and Investment Joint Stock Company,hose,33700,36050,31350,ssi_api_official,True,2025-09-27
KOS,47,Công ty Cổ phần KOSY,Kosy Joint Stock Company,hose,39400,42150,36650,ssi_api_official,True,2025-09-27
LPB,48,Ngân hàng Thương mại Cổ phần Lộc Phát Việt Nam,Fortune Vietnam Joint Stock Commercial Bank,hose,47950,51300,44600,ssi_api_official,True,2025-09-27
MBB,49,Ngân hàng Thương mại Cổ phần Quân Đội,Military Commercial Joint Stock Bank,hose,26550,28400,24700,ssi_api_official,True,2025-09-27
MSB,50,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam,Vietnam Maritime Commercial Joint Stock Bank,hose,13300,14200,12400,ssi_api_official,True,2025-09-27
MSN,51,Công ty Cổ phần Tập đoàn MaSan,Masan Group Corporation,hose,82200,87900,76500,ssi_api_official,True,2025-09-27
MWG,52,Công ty Cổ phần Đầu tư Thế Giới Di Động,Mobile World Investment Corporation,hose,79000,84500,73500,ssi_api_official,True,2025-09-27
NAB,53,Ngân hàng Thương mại Cổ phần Nam Á,Nam A Commercial Joint Stock Bank,hose,15050,16100,14000,ssi_api_official,True,2025-09-27
NKG,54,Công ty Cổ phần Thép Nam Kim,Nam Kim Steel Joint Stock Company,hose,18450,19700,17200,ssi_api_official,True,2025-09-27
NLG,55,Công ty Cổ phần Đầu tư Nam Long,Nam Long Investment Corporation,hose,40900,43750,38050,ssi_api_official,True,2025-09-27
NT2,56,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,PetroVietnam Power Nhon Trach 2 Joint Stock Company,hose,24400,26100,22700,ssi_api_official,True,2025-09-27
OCB,57,Ngân hàng Thương mại Cổ phần Phương Đông,Orient Commercial Joint Stock Bank,hose,12900,13800,12000,ssi_api_official,True,2025-09-27
PAN,58,Công ty Cổ phần Tập đoàn PAN,The PAN Group Joint Stock Company,hose,33400,35700,31100,ssi_api_official,True,2025-09-27
PC1,59,Công ty Cổ phần Tập đoàn PC1,PC1 Group Joint Stock Company,hose,26600,28450,24750,ssi_api_official,True,2025-09-27
