time,open,high,low,close,volume,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_net_vol,foreign_net_val
2025-05-30,16.3,16.3,15.69,15.83,13891048,52400.0,4306100.0,893570000.0,74063265000.0,-4253700.0,-73169695000.0
2025-06-02,15.83,16.9,15.83,16.9,25232797,2611800.0,2201200.0,47048255000.0,40153450850.0,410600.0,6894804150.0
2025-06-03,17.13,17.13,16.71,16.99,12921706,787300.0,1577600.0,14350300000.0,28754565000.0,-790300.0,-14404265000.0
2025-06-04,17.08,17.45,16.9,17.08,12645921,421137.0,1014700.0,7803021350.0,18769010000.0,-593563.0,-10965988650.0
2025-06-05,17.13,17.18,16.76,16.9,9057131,433300.0,1587300.0,7896850000.0,28952330000.0,-1154000.0,-21055480000.0
2025-06-06,16.9,16.9,16.39,16.48,14874068,750100.0,1392027.0,13424730000.0,24967298700.0,-641927.0,-11542568700.0
2025-06-09,16.43,16.85,16.39,16.39,9761152,629900.0,574300.0,11224970000.0,10323875000.0,55600.0,901095000.0
2025-06-10,16.57,16.67,16.11,16.43,6180682,540400.0,370863.0,9559010000.0,6581689350.0,169537.0,2977320650.0
2025-06-11,16.53,16.53,15.97,16.06,7797181,66100.0,530800.0,1154725000.0,9294840000.0,-464700.0,-8140115000.0
2025-06-12,16.16,16.39,16.06,16.11,5362485,353400.0,379300.0,6217905000.0,6657970000.0,-25900.0,-440065000.0
2025-06-13,15.79,15.93,15.28,15.51,16053696,632700.0,1295158.0,10531330000.0,21996776850.0,-662458.0,-11465446850.0
2025-06-16,15.23,15.93,15.23,15.93,5012819,116800.0,240700.0,1979710000.0,4105665000.0,-123900.0,-2125955000.0
2025-06-17,16.02,16.67,15.83,16.62,19155720,248400.0,897345.0,4333375000.0,15754615000.0,-648945.0,-11421240000.0
2025-06-18,16.71,16.9,16.34,16.57,11867696,1080400.0,1120900.0,19261015000.0,20094905000.0,-40500.0,-833890000.0
2025-06-19,16.53,16.67,16.25,16.53,7516706,214400.0,250200.0,3776045000.0,4442465000.0,-35800.0,-666420000.0
2025-06-20,16.53,16.85,16.53,16.67,11991699,1385949.0,265000.0,24941084550.0,4764445000.0,1120949.0,20176639550.0
2025-06-23,16.48,16.62,16.25,16.57,7279748,220400.0,408100.0,3895885000.0,7225140000.0,-187700.0,-3329255000.0
2025-06-24,16.71,16.94,16.57,16.57,10568810,865300.0,522000.0,15623725000.0,9479025000.0,343300.0,6144700000.0
2025-06-25,16.57,16.81,16.39,16.39,8290016,555900.0,344000.0,9919150000.0,6155110000.0,211900.0,3764040000.0
2025-06-26,16.48,16.48,16.2,16.34,4340666,76500.0,271300.0,1344640000.0,4789415000.0,-194800.0,-3444775000.0
2025-06-27,16.43,16.85,16.34,16.34,9967290,706300.0,609100.0,12614490000.0,10890705000.0,97200.0,1723785000.0
2025-06-30,16.48,16.81,16.43,16.71,11080080,1579900.0,124400.0,28406490000.0,2222395000.0,1455500.0,26184095000.0
2025-07-01,16.71,16.85,16.2,16.3,9722437,75800.0,866300.0,1369600000.0,15397480000.0,-790500.0,-14027880000.0
2025-07-02,16.34,16.48,16.2,16.43,5183917,435100.0,283757.0,7665355000.0,4990806750.0,151343.0,2674548250.0
2025-07-03,16.43,16.81,16.25,16.53,15034416,1393100.0,520333.0,24911930000.0,9323499050.0,872767.0,15588430950.0
2025-07-04,16.57,17.36,16.57,16.99,21530901,4610100.0,1244000.0,84560785000.0,22925085000.0,3366100.0,61635700000.0
2025-07-07,17.13,17.73,16.9,17.55,19830489,1187600.0,162100.0,22194765000.0,3003150000.0,1025500.0,19191615000.0
2025-07-08,17.64,17.73,17.22,17.45,14185046,150800.0,1154200.0,2857460000.0,21902820000.0,-1003400.0,-19045360000.0
2025-07-09,17.68,17.87,17.31,17.59,20555207,1536400.0,1989845.0,29226150000.0,37695221500.0,-453445.0,-8469071500.0
2025-07-10,17.82,18.19,17.59,17.68,18189979,1476400.0,664800.0,28517495000.0,12776770000.0,811600.0,15740725000.0
2025-07-11,17.73,17.78,17.31,17.36,13719934,318300.0,159000.0,6007295000.0,3017860000.0,159300.0,2989435000.0
